-0.0614	0.5646	-0.3749	-0.5725	-0.5884
-0.1919	-0.7205	-0.0501	-0.4300	0.9077
-0.0866	0.6870	0.0209	-0.0382	-0.1446
0.1550	-0.4954	0.2587	0.0023	0.4672
-0.3065	-0.4981	-0.7396	0.5009	-0.7816
-0.1338	-0.4353	0.1010	-0.7730	0.8027
0.2358	0.7228	-0.0605	0.6706	-0.4927
0.6575	-0.0653	0.1878	-0.4563	-0.1540
-0.2889	-0.1078	0.5307	-0.2968	-0.4349
0.2255	0.2605	0.3467	0.1328	-0.9907
-0.1212	0.3259	-0.0573	-0.8466	-0.6671
-0.4334	-0.3154	-0.9857	-0.1347	0.1323
-0.0057	0.4198	0.9212	-0.5616	-0.1392
0.4264	0.7734	0.3103	0.4864	-0.7866
