0.3492	-0.2092	0.0588	0.0580	0.4138
0.2072	-0.2910	-0.4583	-0.4029	0.0983
-0.3119	0.5064	0.2224	0.0454	-0.3900
0.0825	-0.1926	-0.5713	-0.6707	0.0290
0.4302	0.8227	-0.1217	-0.7685	-0.7718
-0.2129	0.1865	0.0135	0.0658	0.7303
0.2805	0.0852	0.6663	0.0992	-0.5174
-0.3028	-0.9590	-0.5098	0.1413	-0.5074
-0.2315	-0.1071	0.2996	-0.6260	0.8259
0.3092	0.1035	0.1580	0.8874	-0.3644
-0.3471	-0.1866	0.8072	0.0203	-0.0660
-0.4616	0.1579	0.1029	0.2391	0.0561
-0.4858	0.0869	0.3648	0.9048	-0.2705
0.3675	0.7481	0.7459	-0.7126	0.3126
