-0.1610	-0.3334	-0.4928	0.1293	-0.5999
-0.1863	0.3925	-0.0798	-0.0223	0.1855
-0.8852	-0.8322	0.4187	0.5899	-0.0703
0.0175	0.4967	0.3020	-0.5415	-0.3104
0.1215	-0.3267	0.0050	0.4453	0.1070
0.0966	0.3577	0.3167	0.1699	-0.6342
-0.2702	-0.2104	-0.9336	0.5236	0.1949
-0.6778	-0.7640	0.1532	0.6186	-0.0360
-0.1391	0.5622	0.6380	0.1264	-0.0225
0.2681	-0.3235	0.3764	-0.4685	0.1017
-0.0243	-0.6614	0.1419	-0.6220	0.4417
-0.2318	0.7771	-0.9254	-0.7039	-0.9468
0.3039	0.2048	-0.0958	-0.2657	-0.4132
0.3445	-0.6442	-0.9336	0.1731	0.2938
