0.1493	-0.6498	-0.3327	0.2867	-0.2213
-0.1868	-0.0599	0.7223	-0.3678	0.3178
-0.7391	0.2238	-0.3854	0.3066	0.0919
0.2480	0.3780	0.3138	-0.0586	0.0428
0.1398	0.3186	0.6547	-0.2917	0.9443
0.3226	0.6660	0.1062	0.0256	-0.3417
-0.6288	0.3531	-0.3913	-0.0814	-0.0914
0.3203	0.4253	0.5119	0.0168	0.5130
-0.1366	-0.3413	-0.5501	-0.6119	-0.2293
0.4054	0.5159	-0.0739	-0.4428	-0.0706
0.2329	0.0311	-0.5160	0.0329	-0.5514
0.1571	0.3960	0.6522	-0.5468	0.1802
0.0675	0.2425	-0.0203	-0.1358	0.9581
0.9071	-0.3692	-0.4654	-0.2217	0.5389
